"filename", "language", "TypeScript", "vue", "TypeScript React", "Less", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\login-bg-dark.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\login-bg.svg", "XML", 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\login-box-bg.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\net-error.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\no-data.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\preview\p-rotate.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\preview\resume.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\preview\scale.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\preview\unrotate.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\assets\svg\preview\unscale.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\index.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\AppDarkModeToggle.vue", "vue", 0, 68, 0, 0, 0, 0, 0, 9, 77
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\AppLocalePicker.vue", "vue", 0, 64, 0, 0, 0, 0, 4, 9, 77
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\AppLogo.vue", "vue", 0, 78, 0, 0, 0, 0, 4, 12, 94
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\AppProvider.vue", "vue", 0, 75, 0, 0, 0, 0, 0, 8, 83
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\search\AppSearch.vue", "vue", 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\search\AppSearchFooter.vue", "vue", 0, 52, 0, 0, 0, 0, 0, 5, 57
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\search\AppSearchKeyItem.vue", "vue", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\search\AppSearchModal.vue", "vue", 0, 233, 0, 0, 0, 0, 0, 35, 268
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\search\useMenuSearch.ts", "TypeScript", 137, 0, 0, 0, 0, 0, 11, 19, 167
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Application\src\useAppContext.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Authority\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Authority\src\Authority.vue", "vue", 0, 39, 0, 0, 0, 0, 3, 4, 46
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Basic\index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Basic\src\BasicArrow.vue", "vue", 0, 70, 0, 0, 0, 0, 4, 11, 85
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Basic\src\BasicHelp.vue", "vue", 0, 103, 0, 0, 0, 0, 0, 12, 115
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Basic\src\BasicTitle.vue", "vue", 0, 70, 0, 0, 0, 0, 0, 7, 77
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Button\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Button\src\BasicButton.vue", "vue", 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Button\src\PopConfirmButton.vue", "vue", 0, 49, 0, 0, 0, 0, 0, 6, 55
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Button\src\props.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 10, 1, 20
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CardList\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CardList\src\CardList.vue", "vue", 0, 176, 0, 0, 0, 0, 0, 8, 184
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CardList\src\data.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 3, 1, 26
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\ClickOutSide\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\ClickOutSide\src\ClickOutSide.vue", "vue", 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CodeEditor\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CodeEditor\src\CodeEditor.vue", "vue", 0, 50, 0, 0, 0, 0, 0, 5, 55
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CodeEditor\src\codemirror\CodeMirror.vue", "vue", 0, 99, 0, 0, 0, 0, 0, 15, 114
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CodeEditor\src\codemirror\codeMirror.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 12, 2, 22
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CodeEditor\src\codemirror\codemirror.css", "CSS", 0, 0, 0, 0, 0, 409, 22, 95, 526
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CodeEditor\src\json-preview\JsonPreview.vue", "vue", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CodeEditor\src\typing.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
