Date : 2022-04-08 17:04:03
Directory : c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src
Total : 80 files,  -18374 codes, -496 comments, -4435 blanks, all -23305 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\controller\UserController.ts                          | TypeScript         |        -11 |          0 |         -5 |        -16 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\ecosystem.config.js                                   | JavaScript         |        -17 |          0 |         -2 |        -19 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\index.ts                                              | TypeScript         |        -49 |         -4 |        -11 |        -64 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\nodemon.json                                          | JSON               |         -8 |          0 |         -1 |         -9 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\package.json                                          | JSON               |        -36 |          0 |         -1 |        -37 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\routes.ts                                             | TypeScript         |        -19 |         -2 |         -3 |        -24 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\service\FileService.ts                                | TypeScript         |        -48 |          0 |         -7 |        -55 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\service\UserService.ts                                | TypeScript         |        -23 |          0 |         -3 |        -26 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\tsconfig.json                                         | JSON with Comments |        -15 |          0 |         -1 |        -16 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\server\utils.ts                                              | TypeScript         |         -9 |          0 |         -1 |        -10 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tests\test.spec.ts                                                 | TypeScript         |         -3 |        -11 |         -3 |        -17 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\tsconfig.json                                                      | JSON with Comments |        -38 |         -6 |          0 |        -44 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\axios.d.ts                                                   | TypeScript         |        -27 |        -16 |         -4 |        -47 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\config.d.ts                                                  | TypeScript         |       -104 |        -47 |        -11 |       -162 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\global.d.ts                                                  | TypeScript         |        -83 |         -7 |        -12 |       -102 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\index.d.ts                                                   | TypeScript         |        -19 |          0 |         -9 |        -28 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\module.d.ts                                                  | TypeScript         |         -6 |        -16 |         -1 |        -23 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\store.d.ts                                                   | TypeScript         |        -25 |        -12 |         -6 |        -43 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\utils.d.ts                                                   | TypeScript         |         -4 |          0 |         -2 |         -6 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\types\vue-router.d.ts                                              | TypeScript         |        -26 |        -18 |         -2 |        -46 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\vite.config.ts                                                     | TypeScript         |        -85 |        -11 |        -12 |       -108 |
| c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\windi.config.ts                                                    | TypeScript         |        -68 |         -4 |         -3 |        -75 |
| Total                                                                                                                     |                    |    -18,374 |       -496 |     -4,435 |    -23,305 |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
